symbol,short_name,change,regular_market_price,fifty_two_week_high,fifty_two_week_low,fifty_day_average,two_hundred_day_average,regular_market_open,regular_market_day_high,regular_market_day_low,regular_market_previous_close,regular_market_volume
ESCORTS.NS,ESCORTS,14.280363648745277,1258.75,1468.45,1077.4,1192.7556,1236.6692,1261.9,1274.2,1251.9,1261.9,847501
EXIDEIND.NS,EXIDE INDUSTRIES,23.39261285909713,168,219.3,153.6,179.15,188.62132,169.85,170.8,167.85,169.15,3062186
GANECOS.NS,GANESHA ECOSPHERE,23.311546840958606,528,688.5,223,520.00555,552.74023,521.95,531,516.95,514,13281
GFLLIMITED.NS,GFL LIMITED,28.919781116098203,69.15,97.28445,62.451668,69.97083,73.11763,68,69.8,68,67.9,57377
GICRE.NS,GENERAL INSURANCE,32.8009828009828,164.1,244.2,115,185.84584,189.6556,165,166.25,164.1,164.3,286129
GLOBE.NS,Globe Textiles (I) Ltd.,0,12.25,12.25,3.066666,3.3733325,3.3733327,12.25,12.25,12.25,12.85,51788
GOENKA.NS,GOENKA DIAMOND & J,52.083333333333336,1.15,2.4,0.55,1.3041667,1.5045455,1.15,1.2,1.15,1.2,234014
GULFOILLUB.NS,GULF OIL LUBRICANT,27.161520190023758,613.3,842,603.25,664.76807,703.35034,621,630,612.5,613.4,36424
HATHWAY.NS,HATHWAY CABLE & DA,34.63035019455253,25.2,38.55,20.55,26.352777,26.777273,24.85,25.35,24.65,24.65,2701677
HDFC.NS,HOUSING DEVEL FIN,7.948895027624303,2665.8,2896,1623,2515.2166,2542.742,2656.6,2675.25,2646.6,2658.5,1222957
HDFCAMC.NS,HDFC ASSET MANAGEM,11.578195242490104,2970,3358.9,2070.05,2922.6763,2926.9832,2939,2973.9,2925.05,2946.25,153828
HDFCBANK.NS,HDFC BANK,8.488726386349784,1501.7,1641,1020.2,1480.4764,1485.7616,1497,1507.6,1489.3,1494.95,3620890
HDFCLIFE.NS,HDFC LIFE INSURANC,9.859249329758708,672.45,746,555.95,680.3472,687.17413,666.5,675.7,665.4,666.65,1443827
HEMIPROP.NS,Hemisphere Prop Ind Ltd,31.1199207135778,139,201.8,54.4,144.70139,147.53146,135,141.85,135,134.25,674913
HEROMOTOCO.NS,HERO MOTOCORP LTD,23.368374643501745,2781,3629.05,2740,2862.6194,3037.781,2800,2801.25,2775,2781.6,331864
HNDFDS.NS,Hindustan Foods Limited,24.55391776570985,1945,2578,695.75,1975.2208,2026.8846,1900,1980,1870,1887.15,4064
HONAUT.NS,HONEYWELL AUTO IND,19.202540508101617,40390.65,49990,27850,42027.582,43090.17,40700,40790,40295,40140.75,811
IDEA.NS,VODAFONE IDEA LTD,52.89855072463769,6.5,13.8,4.55,8.586111,9.539161,6.7,6.75,6.45,6.65,85555904
IDFCFIRSTB.NS,IDFC FIRST BANK,33.76623376623377,45.9,69.3,26.85,52.545834,55.825176,46.65,46.8,45.65,46.9,26667677
IFBIND.NS,IFB INDUSTRIES LTD,38.602036063610356,922.75,1502.9,385.2,1025.3125,1102.3329,954,960.35,917,945.55,36736
INDIAMART.NS,IndiaMART InterMESH Ltd,27.663819095477386,7197.45,9950,2900,7206.214,7767.333,7200,7267.95,7185,7148.9,16731
