SYMBOL,NAME OF COMPANY,SERIES,DATE OF LISTING,PAID UP VALUE,MARKET LOT,ISIN NUMBER,FACE VALUE,TICKER,,,,,,,,,,,,,,,,,
AXISCADES,AXISCADES Technologies Limited,EQ,21-Dec-2000,5,1,INE555B01013,5,"'AXISCADES.NS',",,,,,,,,,,,,,,,,,
AYMSYNTEX,AYM Syntex Limited,EQ,14-Aug-2015,10,1,INE193B01039,10,"'AYMSYNTEX.NS',",,,,,,,,,,,,,,,,,
BAFNAPH,Bafna Pharmaceuticals Limited,EQ,27-Feb-2020,10,1,INE878I01022,10,"'BAFNAPH.NS',",,,,,,,,,,,,,,,,,
BAGFILMS,B.A.G Films and Media Limited,BE,17-Oct-2003,2,1,INE116D01028,2,"'BAGFILMS.NS',",,,,,,,,,,,,,,,,,
BAJAJ-AUTO,Bajaj Auto Limited,EQ,26-May-2008,10,1,INE917I01010,10,"'BAJAJ-AUTO.NS',",,,,,,,,,,,,,,,,,
BAJAJCON,Bajaj Consumer Care Limited,EQ,18-Aug-2010,1,1,INE933K01021,1,"'BAJAJCON.NS',",,,,,,,,,,,,,,,,,
BAJAJELEC,Bajaj Electricals Limited,EQ,02-Nov-2007,2,1,INE193E01025,2,"'BAJAJELEC.NS',",,,,,,,,,,,,,,,,,
BAJAJFINSV,Bajaj Finserv Limited,EQ,26-May-2008,5,1,INE918I01018,5,"'BAJAJFINSV.NS',",,,,,,,,,,,,,,,,,
BAJAJHIND,Bajaj Hindusthan Sugar Limited,EQ,10-May-1995,1,1,INE306A01021,1,"'BAJAJHIND.NS',",,,,,,,,,,,,,,,,,
BAJAJHLDNG,Bajaj Holdings & Investment Limited,EQ,15-Mar-1995,10,1,INE118A01012,10,"'BAJAJHLDNG.NS',",,,,,,,,,,,,,,,,,
BAJFINANCE,Bajaj Finance Limited,EQ,01-Apr-2003,2,1,INE296A01024,2,"'BAJFINANCE.NS',",,,,,,,,,,,,,,,,,
BALAJITELE,Balaji Telefilms Limited,EQ,22-Nov-2000,2,1,INE794B01026,2,"'BALAJITELE.NS',",,,,,,,,,,,,,,,,,
BALAMINES,Balaji Amines Limited,EQ,05-Apr-2007,2,1,INE050E01027,2,"'BALAMINES.NS',",,,,,,,,,,,,,,,,,
BALAXI,BALAXI PHARMACEUTICALS LIMITED,EQ,30-Nov-2015,10,1,INE618N01014,10,"'BALAXI.NS',",,,,,,,,,,,,,,,,,
